Kod;Nazwa;MIESIAC;Rodzaj ;Cena_i_wska�niki;Rok;Wartosc;Jednostka_miary;Atrybut
200000;DOLNOSLASKIE;maj;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2016;185,7;zł;
200000;DOLNOSLASKIE;maj;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2017;193,11;zł;
200000;DOLNOSLASKIE;maj;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2018;193,82;zł;
200000;DOLNOSLASKIE;maj;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2019;195,74;zł;
200000;DOLNOSLASKIE;maj;wizyta u lekarza specjalisty;cena;2006;50,71;zł;
200000;DOLNOSLASKIE;maj;wizyta u lekarza specjalisty;cena;2007;53,24;zł;
200000;DOLNOSLASKIE;maj;wizyta u lekarza specjalisty;cena;2008;60,29;zł;
200000;DOLNOSLASKIE;maj;wizyta u lekarza specjalisty;cena;2009;66,76;zł;
200000;DOLNOSLASKIE;maj;wizyta u lekarza specjalisty;cena;2010;72,35;zł;
200000;DOLNOSLASKIE;maj;wizyta u lekarza specjalisty;cena;2011;79,71;zł;
200000;DOLNOSLASKIE;maj;wizyta u lekarza specjalisty;cena;2012;82,94;zł;
200000;DOLNOSLASKIE;maj;wizyta u lekarza specjalisty;cena;2013;88,24;zł;
200000;DOLNOSLASKIE;maj;wizyta u lekarza specjalisty;cena;2014;94,71;zł;
200000;DOLNOSLASKIE;maj;wizyta u lekarza specjalisty;cena;2015;98,82;zł;
